blueberriesbuckshotnswcseal	'Blueberries' Buckshot | NSWC SEAL	15.59	1343.80
mediumrarecrasswaterguerrillawarfare	'Medium Rare' Crasswater | Guerrilla Warfare	27.65	2327.70
thedoctorromanovsabre	'The Doctor' Romanov | Sabre	12.26	1043.99
twotimesmccoytacpcavalry	'Two Times' McCoy | TACP Cavalry	8.29	707.93
twotimesmccoyusaftacp	'Two Times' McCoy | USAF TACP	7.40	626.00
10yearbirthdaystickercapsule	10 Year Birthday Sticker Capsule	0.60	51.73
1stlieutenantfarlowswat	1st Lieutenant Farlow | SWAT	9.44	794.65
2020rmrchallengers	2020 RMR Challengers	0.23	18.89
2020rmrcontenders	2020 RMR Contenders	0.30	25.87
2020rmrlegends	2020 RMR Legends	0.20	17.21
2021communitystickercapsule	2021 Community Sticker Capsule	0.74	63.45
3rdcommandocompanyksk	3rd Commando Company | KSK	11.58	974.82
aceshighpin	Aces High Pin	7.48	633.80
ak47aphroditebattlescarred	AK-47 | Aphrodite (Battle-Scarred)	11.76	997.67
ak47aphroditefactorynew	AK-47 | Aphrodite (Factory New)	329.20	28375.10
ak47aphroditefieldtested	AK-47 | Aphrodite (Field-Tested)	16.55	1403.15
ak47aphroditeminimalwear	AK-47 | Aphrodite (Minimal Wear)	30.58	2574.82
ak47aphroditewellworn	AK-47 | Aphrodite (Well-Worn)	11.77	1014.83
ak47aquamarinerevengebattlescarred	AK-47 | Aquamarine Revenge (Battle-Scarred)	35.35	3047.50
ak47aquamarinerevengefactorynew	AK-47 | Aquamarine Revenge (Factory New)	176.35	15202.41
ak47aquamarinerevengefieldtested	AK-47 | Aquamarine Revenge (Field-Tested)	38.78	3265.00
ak47aquamarinerevengeminimalwear	AK-47 | Aquamarine Revenge (Minimal Wear)	61.27	5158.40
ak47aquamarinerevengewellworn	AK-47 | Aquamarine Revenge (Well-Worn)	35.59	3067.66
ak47asiimovbattlescarred	AK-47 | Asiimov (Battle-Scarred)	42.14	3632.50
ak47asiimovfactorynew	AK-47 | Asiimov (Factory New)	315.56	27199.44
ak47asiimovfieldtested	AK-47 | Asiimov (Field-Tested)	42.86	3654.00
ak47asiimovminimalwear	AK-47 | Asiimov (Minimal Wear)	58.50	5043.11
